state,zip_code,zip_first_two_digits,school_type,school_level,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,state_population,zip_first_two_digits_population,average_act
47,19808,19,1,3,-1.0582872616641696,1.1655289794119574,0.41686917684927804,0.8441000153533441,-0.0039151058317888005,-1.5777484560581745,0.14503321797180654,23.8156288156288
20,63376,63,1,2,-0.3748510148560191,1.0320834495032385,1.2848821195350497,1.0787511568616366,-0.865175856614586,-0.8915691154626094,-0.8443850544198338,23.5225885225885
33,61956,61,1,2,-0.756316488668717,0.2798414473740857,0.3797871702610151,-0.05729060550073477,-0.553088058339942,-0.009887011950400744,-1.1795249054752697,21.5445665445665
12,77058,77,1,2,-0.7147346853444347,2.444333818574432,1.1277664936514005,3.514750286271539,-1.2131992757591394,2.1762978578422096,1.5195746397353225,26.2332112332112
37,44310,44,1,2,-0.03207593291383196,-1.0738376770759988,0.5453114819053472,-0.5596581218592768,1.4898054536027916,-0.14136509188157922,-0.15989731026408338,22.960927960928
34,53186,53,1,2,-0.9325785486212352,0.9740581703789656,0.7790853569254264,0.7291392103463642,-0.5971563075009991,-0.925829269877872,-0.5327765549398044,
1,98405,98,1,2,-0.13779715096597978,0.6075975251955877,0.600301400817032,-0.0650072095178038,0.868855691412026,-0.6828615566229926,0.8422531485921002,20.5677655677656
12,75707,75,1,2,0.5192545674752094,-0.4779204750990472,0.09586026559124954,-0.507176917119533,0.4079798146939016,2.1762978578422096,0.7438064486402346,19.0781440781441
39,11203,11,1,2,0.40122425276932233,0.7136040975494639,-0.9261611231858656,-0.16113286278419586,1.3807427369990493,0.9634030226392952,1.3454241599633348,19.3223443223443
36,48098,48,1,2,-0.8565607921315315,2.0365139035628266,1.5736221680040283,2.618960426397591,-1.432330826882044,-0.37106353721446556,0.7801494521444513,
33,62629,62,1,2,-0.24194274327757836,1.4899797977242513,0.42908706865371365,1.2635762692059511,-1.068544047727813,-0.009887011950400744,-1.2326537915368878,18.8827838827839
25,33870,33,1,2,1.5991624753272589,-0.9395203003262,-0.836083405276841,-1.2412499895820024,0.36058964605055416,1.1603159277530588,2.462080044459979,17.2710622710623
36,48653,48,1,2,0.43117397043684,0.8450809692131597,-0.18984539477652468,-0.5528957215647485,0.22687435231941616,-0.37106353721446556,0.7801494521444513,21.3003663003663
12,78653,78,1,2,-1.2515928434353238,0.7324893163920354,1.025823019590727,1.157659656003923,0.003215602780025672,2.1762978578422096,1.2074376470471546,20.0549450549451
12,77076,77,1,2,-0.11784586729408182,-2.003311939199469,-0.38961056661157967,-0.6228844902571972,1.727185165084344,2.1762978578422096,1.5195746397353225,18.4676434676435
43,02537,02,1,2,-0.044906206789610506,1.4782262479029713,0.9949576580917651,1.6764975583558865,-1.35343206742161,-0.7796761665821531,-0.06888924795828827,21.5201465201465
22,71295,71,1,2,-0.1322708230770424,-1.3231203338727884,-0.026932527611887677,-0.7248598272139479,1.1142221421571536,-1.0912773137627452,-1.3381786622999252,19.0537240537241
12,78636,78,1,2,-1.2249162166241585,0.3293917391640436,-0.11145568255016272,-0.06521464510966049,-0.7544550209321926,2.1762978578422096,1.2074376470471546,18.8339438339438
22,71447,71,1,3,-0.25255078649696994,-0.7821539143329922,-0.4470819445397671,-0.9826192936550762,1.3107672590113033,-1.0912773137627452,-1.3381786622999252,
32,41653,41,1,2,-0.22880224331864,0.00023413919494159137,-0.6540432385456796,-1.144211619711441,0.5934531516722925,-1.1104486276321293,-1.6466458824033205,20.1770451770452
39,11211,11,1,2,-0.7513198053545512,-0.7532577177884021,1.4288110914536154,-0.847910620303339,1.6314707960911494,0.9634030226392952,1.3454241599633348,18.0525030525031
46,07201,07,1,2,0.24969184201706524,-1.7831587791419983,-1.2815820596338634,-0.5210336146555603,0.6371630241725924,-0.4771283503154795,0.21887673999589094,20.4945054945055
38,17737,17,1,2,0.2485452980641083,-0.346946655954693,0.5453454374445524,0.05555435646930686,-0.8419456764257488,0.01774422457800519,-0.8674142417059856,18.1990231990232
39,11411,11,1,2,-0.7600701930097429,0.5399288460301563,-0.720480965311723,0.7133741053652555,0.829419784528695,0.9634030226392952,1.3454241599633348,22.2527472527473
32,42647,42,1,2,1.627732493990458,-0.9577583503532486,0.6246750266275456,-1.3664995999450744,1.161573234430044,-1.1104486276321293,-1.5104865964576697,19.957264957265
38,17837,17,1,2,-0.40767867582672923,0.31222548576144893,0.36871466494203503,-0.26327414821443207,-0.9588702341585069,0.01774422457800519,-0.8674142417059856,
12,76531,76,1,2,-1.6445831120108005,-0.9728447995801321,-0.2604596870080488,-0.7637747442462638,-0.26492847359253696,2.1762978578422096,-0.08464830267922527,21.3247863247863
38,17345,17,1,2,-0.026011935404270516,-0.9316361926501935,0.21266508185508612,0.40188882063324344,-0.5710249172015655,0.01774422457800519,-0.8674142417059856,22.960927960928
22,70512,70,1,2,-0.9484689421982158,-1.197359903831944,-0.7797538154842227,-0.6299787874986961,0.05247259982307102,-1.0912773137627452,-0.6336909926524972,20.8608058608059
34,54747,54,1,2,-0.5072550584437395,-0.5040585396531357,-0.07554293470449491,-0.47763808883913983,-0.6645192146854073,-0.925829269877872,-0.960216500156801,22.7167277167277
46,07675,07,1,2,-0.7921944364392856,1.7911212338174938,1.5030380738742348,3.443060545725866,-1.7334034617426612,-0.4771283503154795,0.21887673999589094,
39,11366,11,1,2,1.5091391461415302,-0.3682802020678601,1.24868360123736,-0.22369543728817484,1.2250315151413482,0.9634030226392952,1.3454241599633348,26.5506715506715
12,75244,75,1,2,-1.0543302560555887,0.6218060017560114,-1.0934871289875416,-0.6158316801340695,0.6941723297828295,2.1762978578422096,0.7438064486402346,23.0586080586081
37,43315,43,1,2,-0.7992232778180803,-1.0004762487622314,-0.21180003291117153,-0.05712465702724941,1.5261895417299642,-0.14136509188157922,-0.5113395491846926,
43,02152,02,1,2,-0.745331833726518,0.5750868316767743,0.654147830627117,1.2544905902826278,-0.8733964462649633,-0.7796761665821531,-0.06888924795828827,20.4212454212454
12,78572,78,1,2,0.9449542461379303,-2.29186205400442,0.2566883428782182,-0.9209279486368953,2.0225707531115096,2.1762978578422096,1.2074376470471546,19.8107448107448
25,32533,32,1,2,0.23972978682057347,0.9447052788582829,-0.10370815298981197,0.10235182599217707,-0.46496842613230227,1.1603159277530588,1.0257542242287312,20.2014652014652
35,46030,46,1,2,-0.3636662776610092,0.18273470100521644,-0.5072567480152477,0.44756613796008754,-1.0129127731616092,-0.8071837763907889,-0.01775896619375121,23.3028083028083
